modulename|section|parentsection|typecode|type|itemvisibility|itemrole|name|title
manage-active-directory-server.sh|Helpers||fn|function|internal|normal|_adsvr_set_dns_forwarder|
manage-active-directory-server.sh|Helpers||fn|function|internal|normal|_adsvr_wait_configured|
manage-active-directory-server.sh|Helpers||fn|function|internal|normal|_adsvr_wait_dns|
manage-active-directory-server.sh|Provisioning steps||fn|function|internal|normal|_adsvr_step_install_packages|
manage-active-directory-server.sh|Provisioning steps||fn|function|internal|normal|_adsvr_step_preflight|
manage-active-directory-server.sh|Provisioning steps||fn|function|internal|normal|_adsvr_step_identity|
manage-active-directory-server.sh|Provisioning steps||fn|function|internal|normal|_adsvr_step_provision|
manage-active-directory-server.sh|Provisioning steps||fn|function|internal|normal|_adsvr_step_domain_settings|
manage-active-directory-server.sh|Provisioning steps||fn|function|internal|normal|_adsvr_step_kerberos|
manage-active-directory-server.sh|Provisioning steps||fn|function|internal|normal|_adsvr_step_resolver|
manage-active-directory-server.sh|Provisioning steps||fn|function|internal|normal|_adsvr_step_start|
manage-active-directory-server.sh|Provisioning steps||fn|function|internal|normal|_adsvr_step_register_dns|
manage-active-directory-server.sh|Provisioning steps||fn|function|internal|normal|_adsvr_provision_domain|
manage-active-directory-server.sh|Validation/status||fn|function|internal|normal|_adsvr_validate|
manage-active-directory-server.sh|Validation/status||fn|function|internal|normal|_adsvr_status|
manage-web-server.sh|Bootstrap||fn|function|internal|template|_framework_locator|Resolve and load the active SolidGroundUX framework
manage-web-server.sh|Local declarations||fn|function|internal|normal|_web_server_package_installed|Test whether Nginx is installed
manage-web-server.sh|Local declarations||fn|function|internal|normal|_web_server_storage_root|Resolve the configured SolidGroundUX storage root
manage-web-server.sh|Local declarations||fn|function|internal|normal|_web_server_root|Resolve the configured web content root
manage-web-server.sh|Local declarations||fn|function|internal|normal|_web_server_save_root|Persist the configured web content root
manage-web-server.sh|Local declarations||fn|function|internal|normal|_web_server_installed_docs_root|Resolve the installed SolidGroundUX documentation path
manage-web-server.sh|Local declarations||fn|function|internal|normal|_web_server_enabled_sites|List enabled Nginx sites
manage-web-server.sh|Local declarations||fn|function|internal|normal|_web_server_available_sites|List available Nginx sites
manage-web-server.sh|Local declarations||fn|function|internal|normal|_web_server_validate_site_name|Validate an Nginx site name
manage-web-server.sh|Local declarations||fn|function|internal|normal|_web_server_current_dns|Resolve the first configured non-loopback DNS server
manage-web-server.sh|Local declarations||fn|function|internal|normal|_web_server_local_ipv4|Resolve this server's primary IPv4 address
manage-web-server.sh|Local declarations||fn|function|internal|normal|_web_server_offer_dns_record|Optionally register an internal AD DNS A record
manage-web-server.sh|Local declarations||fn|function|internal|normal|_web_server_site_document_root|Resolve the document root for an Nginx site
manage-web-server.sh|Local declarations||fn|function|internal|normal|_web_server_remove_document_content|Remove all content below a document root
manage-web-server.sh|Local declarations||fn|function|internal|normal|_web_server_ensure_directory|Create and prepare a web content directory when needed
manage-web-server.sh|Local declarations||fn|function|internal|normal|_web_server_reload|Validate and reload Nginx
manage-web-server.sh|Role preparation||fn|function|internal|normal|_web_server_step_install_packages|Install Nginx and publishing prerequisites
manage-web-server.sh|Role preparation||fn|function|internal|normal|_web_server_step_start|Enable and start Nginx
manage-web-server.sh|Role preparation||fn|function|internal|normal|_web_server_prepare|Run the tracked web-server preparation workflow
manage-web-server.sh|Configuration||fn|function|internal|normal|_web_server_configure_root|Select or create the web content root
manage-web-server.sh|Configuration||fn|function|internal|normal|_web_server_manage_service|Manage nginx.service state and startup behavior
manage-web-server.sh|Configuration||fn|function|internal|normal|_web_server_configure_firewall|Allow HTTP and HTTPS through UFW
manage-web-server.sh|Site management||fn|function|internal|normal|_web_server_create_site|Create and enable an Nginx site
manage-web-server.sh|Site management||fn|function|internal|normal|_web_server_enable_site|Enable an available Nginx site
manage-web-server.sh|Site management||fn|function|internal|normal|_web_server_disable_site|Disable an enabled Nginx site
manage-web-server.sh|Site management||fn|function|internal|normal|_web_server_remove_site|Remove an Nginx site configuration
manage-web-server.sh|Site management||fn|function|internal|normal|_web_server_remove_site_content|Remove the contents of a site's document root
manage-web-server.sh|Site management||fn|function|internal|normal|_web_server_list_sites|List Nginx sites and document roots
manage-web-server.sh|Site management||fn|function|internal|normal|_web_server_manage_sites|Open the site-management workflow
manage-web-server.sh|SolidGroundUX documentation||fn|function|internal|normal|_web_server_default_docs_address|Return a sensible documentation web address
manage-web-server.sh|SolidGroundUX documentation||fn|function|internal|normal|_web_server_configure_documentation_site|Configure the documentation web site
manage-web-server.sh|SolidGroundUX documentation||fn|function|internal|normal|_web_server_documentation_status|Show documentation publishing status
manage-web-server.sh|Status / validation||fn|function|internal|normal|_web_server_status|Show web-server status and configuration
manage-web-server.sh|Status / validation||fn|function|internal|normal|_web_server_validate|Validate the web-server role
manage-docker-containers.sh|Bootstrap||fn|function|internal|template|_framework_locator|Resolve and load the active SolidGroundUX framework
manage-active-directory-client.sh|Bootstrap||fn|function|internal|template|_framework_locator|Resolve and load the active SolidGroundUX framework
manage-active-directory-client.sh|Internal helpers||fn|function|internal|normal|_adc_collect_context|Collect Active Directory client join context
manage-active-directory-client.sh|Internal helpers||fn|function|internal|normal|_adc_require_context|
manage-active-directory-client.sh|Internal helpers||fn|function|internal|normal|_adc_step_install_packages|
manage-active-directory-client.sh|Internal helpers||fn|function|internal|normal|_adc_step_preflight|
manage-active-directory-client.sh|Internal helpers||fn|function|internal|normal|_adc_step_dns|
manage-active-directory-client.sh|Internal helpers||fn|function|internal|normal|_adc_step_identity|
manage-active-directory-client.sh|Internal helpers||fn|function|internal|normal|_adc_step_discover|
manage-active-directory-client.sh|Internal helpers||fn|function|internal|normal|_adc_step_join|
manage-active-directory-client.sh|Internal helpers||fn|function|internal|normal|_adc_step_sssd|
manage-active-directory-client.sh|Internal helpers||fn|function|internal|normal|_adc_step_register_dns|
manage-active-directory-client.sh|Internal helpers||fn|function|internal|normal|_adc_join_domain|
manage-active-directory-client.sh|Internal helpers||fn|function|internal|normal|_adc_validate|Validate Active Directory client membership and local integration
manage-active-directory-client.sh|Internal helpers||fn|function|internal|normal|_adc_reconcile|Repair safe local Active Directory client drift
manage-active-directory-client.sh|Internal helpers||fn|function|internal|normal|_adc_status|
manage-active-directory-client.sh|Internal helpers||fn|function|internal|normal|_adc_leave|
framework-smoketest.sh|Bootstrap||fn|function|internal|template|_framework_locator|Resolve and load the active SolidGroundUX framework
framework-smoketest.sh|Smoke-test input declarations||fn|function|public|normal|input_test|Run simple shell input tests
framework-smoketest.sh|Smoke-test input declarations||fn|function|public|normal|ask_selection_test|Run interactive ask_selection tests
framework-smoketest.sh|Smoke-test input declarations||fn|function|public|normal|ask_test|Run interactive ask helper tests
framework-smoketest.sh|Sample/demo renderers|Smoke-test input declarations|fn|function|public|normal|say_test|Run console message helper tests
framework-smoketest.sh|Sample/demo renderers|Smoke-test input declarations|fn|function|public|normal|loglevel_test|Run console message visibility tests for every log level
framework-smoketest.sh|Sample/demo renderers|Smoke-test input declarations|fn|function|public|normal|file_loglevel_test|Run file logging tests for every log level
framework-smoketest.sh|Sample/demo renderers|Smoke-test input declarations|fn|function|public|normal|view_log|Display the active SolidGroundUX logfile
framework-smoketest.sh|Sample/demo renderers|Smoke-test input declarations|fn|function|public|normal|motd_test|Motd test
framework-smoketest.sh|Sample/demo renderers|Smoke-test input declarations|fn|function|public|normal|sayprogress_test|Run transient progress line tests
framework-smoketest.sh|Sample/demo renderers|Smoke-test input declarations|fn|function|public|normal|show_colorchart|Show colorchart
framework-smoketest.sh|Sample/demo renderers|Smoke-test input declarations|fn|function|public|normal|show_theme|Browse and preview installed UI themes
manage-docker-server.sh|Bootstrap||fn|function|internal|template|_framework_locator|Resolve and load the active SolidGroundUX framework
manage-solidgroundux.sh|Bootstrap||fn|function|internal|template|_framework_locator|Resolve and load the active SolidGroundUX framework
manage-active-directory.sh|Bootstrap||fn|function|internal|template|_framework_locator|Resolve and load the active SolidGroundUX framework
manage-active-directory.sh|Internal helpers||fn|function|internal|normal|_admg_list_users_raw|Return directory users
manage-active-directory.sh|Internal helpers||fn|function|internal|normal|_admg_list_groups_raw|Return directory groups
manage-active-directory.sh|Internal helpers||fn|function|internal|normal|_admg_list_computers_raw|Return directory computers
manage-active-directory.sh|Internal helpers||fn|function|internal|normal|_admg_select_user|Select one AD user
manage-active-directory.sh|Internal helpers||fn|function|internal|normal|_admg_select_group|Select one AD group
manage-active-directory.sh|Internal helpers||fn|function|internal|normal|_admg_select_computer|Select one AD computer
manage-active-directory.sh|Internal helpers||fn|function|internal|normal|_admg_user_is_disabled|Test whether an AD user account is disabled
manage-active-directory.sh|Internal helpers||fn|function|internal|normal|_admg_add_member_to_group|Add one member to one AD group
manage-active-directory.sh|Internal helpers||fn|function|internal|normal|_admg_remove_member_from_group|Remove one member from one AD group
manage-active-directory.sh|Internal helpers||fn|function|internal|normal|_admg_user_is_protected|Test whether a user is protected from destructive actions
manage-active-directory.sh|Internal helpers||fn|function|internal|normal|_admg_group_is_protected|Test whether a group is protected from deletion
manage-active-directory.sh|Internal helpers||fn|function|internal|normal|_admg_decision_is_quit|Test whether a canonical decision means quit/back
manage-active-directory.sh|Internal helpers||fn|function|internal|normal|_admg_ask_selection|Render AD selections with manager-owned presentation
manage-active-directory.sh|Directory overview||fn|function|internal|normal|_admg_status|Show Active Directory management summary
manage-active-directory.sh|Directory overview||fn|function|internal|normal|_admg_validate|Validate local Active Directory administration readiness
manage-active-directory.sh|User actions||fn|function|internal|normal|_admg_list_users|List Active Directory users
manage-active-directory.sh|User actions||fn|function|internal|normal|_admg_show_user|Show one Active Directory user
manage-active-directory.sh|User actions||fn|function|internal|normal|_admg_create_user|Create an Active Directory user
manage-active-directory.sh|User actions||fn|function|internal|normal|_admg_toggle_user|Enable or disable an Active Directory user
manage-active-directory.sh|User actions||fn|function|internal|normal|_admg_reset_user_password|Reset an Active Directory user's password
manage-active-directory.sh|User actions||fn|function|internal|normal|_admg_set_user_password_noexpiry|Set a user's password to never expire
manage-active-directory.sh|User actions||fn|function|internal|normal|_admg_delete_user|Delete an Active Directory user
manage-active-directory.sh|User actions||fn|function|internal|normal|_admg_user_add_groups|Add a selected user to one or more AD groups
manage-active-directory.sh|User actions||fn|function|internal|normal|_admg_user_remove_groups|Remove a selected user from direct group memberships
manage-active-directory.sh|Group actions||fn|function|internal|normal|_admg_list_groups|List Active Directory groups
manage-active-directory.sh|Group actions||fn|function|internal|normal|_admg_show_group|Show one Active Directory group
manage-active-directory.sh|Group actions||fn|function|internal|normal|_admg_create_group|Create an Active Directory group
manage-active-directory.sh|Group actions||fn|function|internal|normal|_admg_delete_group|Delete an Active Directory group
manage-active-directory.sh|Group actions||fn|function|internal|normal|_admg_group_add_users|Add one or more users to a selected AD group
manage-active-directory.sh|Group actions||fn|function|internal|normal|_admg_group_remove_members|Remove selected direct members from an AD group
manage-active-directory.sh|Computer actions||fn|function|internal|normal|_admg_list_computers|List Active Directory computer accounts
manage-active-directory.sh|Computer actions||fn|function|internal|normal|_admg_show_computer|Show one Active Directory computer account
manage-active-directory.sh|Computer actions||fn|function|internal|normal|_admg_delete_computer|Delete an Active Directory computer account
manage-samba-file-server.sh|Bootstrap||fn|function|internal|template|_framework_locator|Resolve and load the active SolidGroundUX framework
manage-samba-file-server.sh|Helpers||fn|function|internal|normal|_smb_ask_selection|Render a Samba selection menu and return the selected value(s)
40-solidgroundux.sh|Library guard||fn|function|internal|template|_sgnd_lib_guard|Enforce source-only, single-load library initialization
40-solidgroundux.sh|SolidGroundUX installation actions||fn|function|internal|normal|_release_manager|Open the standalone SolidGroundUX release manager
40-solidgroundux.sh|Framework diagnostics||fn|function|internal|normal|_framework_smoketest|
40-solidgroundux.sh|Framework diagnostics||fn|function|internal|normal|_framework_show_environment|
40-solidgroundux.sh|Framework diagnostics||fn|function|internal|normal|_framework_show_about|
40-solidgroundux.sh|Framework configuration actions||fn|function|internal|normal|_framework_config_view_file|Open a framework configuration file read-only
40-solidgroundux.sh|Framework configuration actions||fn|function|internal|normal|_framework_config_view_system|View the system framework configuration
40-solidgroundux.sh|Framework configuration actions||fn|function|internal|normal|_framework_config_view_user|View the user framework configuration
40-solidgroundux.sh|Framework configuration actions||fn|function|public|normal|framework_configure_file|Configure validated framework settings externally
40-solidgroundux.sh|Framework configuration actions||fn|function|internal|normal|_framework_config_edit_system|Edit the system configuration externally
40-solidgroundux.sh|Framework configuration actions||fn|function|internal|normal|_framework_config_edit_user|Edit the user configuration externally
40-solidgroundux.sh|Framework logging actions||fn|function|internal|normal|_framework_log_validate|
40-solidgroundux.sh|Framework logging actions||fn|function|internal|normal|_framework_log_view|
40-solidgroundux.sh|Framework logging actions||fn|function|internal|normal|_framework_log_follow|
40-solidgroundux.sh|Framework logging actions||fn|function|internal|normal|_framework_log_show_errors|
40-solidgroundux.sh|Framework logging actions||fn|function|internal|normal|_framework_log_rotate|Rotate the active logfile externally
40-solidgroundux.sh|Internal helpers||fn|function|internal|normal|_framework_state_validate|
40-solidgroundux.sh|Internal helpers||fn|function|internal|normal|_framework_state_apply_ui|
40-solidgroundux.sh|Public module actions||fn|function|public|normal|framework_state_show|
40-solidgroundux.sh|Public module actions||fn|function|public|normal|framework_state_edit|
40-solidgroundux.sh|Public module actions||fn|function|public|normal|framework_state_save|
40-solidgroundux.sh|Public module actions||fn|function|public|normal|framework_state_reload|
50-web-server.sh|Library guard||fn|function|internal|template|_sgnd_lib_guard|Enforce source-only, single-load library initialization
27-active-directory-management.sh|Library guard||fn|function|internal|template|_sgnd_lib_guard|Enforce source-only, single-load library initialization
60-sqlserver.sh|Library guard||fn|function|internal|template|_sgnd_lib_guard|Enforce source-only, single-load library initialization
70-docker-server.sh|Library guard||fn|function|internal|template|_sgnd_lib_guard|Enforce source-only, single-load library initialization
90-development.sh|Library guard||fn|function|internal|template|_sgnd_lib_guard|Enforce source-only, single-load library initialization
90-development.sh|Development actions||fn|function|internal|normal|_dev_create_workspace|
90-development.sh|Development actions||fn|function|internal|normal|_dev_deploy_workspace|
90-development.sh|Development actions||fn|function|internal|normal|_dev_prepare_release|
90-development.sh|Development actions||fn|function|internal|normal|_dev_create_wrappers|
90-development.sh|Development actions||fn|function|internal|normal|_dev_generate_docs|
15-storage.sh|Library guard||fn|function|internal|template|_sgnd_lib_guard|Enforce source-only, single-load library initialization
10-computer-setup.sh|Library guard||fn|function|internal|template|_sgnd_lib_guard|Enforce source-only, single-load library initialization
10-computer-setup.sh|Module actions||fn|function|internal|normal|_computer_set_identity|
10-computer-setup.sh|Module actions||fn|function|internal|normal|_computer_configure_ssh_service|
10-computer-setup.sh|Module actions||fn|function|internal|normal|_computer_generate_ssh_keys|
10-computer-setup.sh|Module actions||fn|function|internal|normal|_computer_configure_sudoers|
10-computer-setup.sh|Module actions||fn|function|internal|normal|_computer_prepare|
10-computer-setup.sh|Module actions||fn|function|internal|normal|_computer_status|
10-computer-setup.sh|Module actions||fn|function|internal|normal|_computer_validate|
10-computer-setup.sh|Module actions||fn|function|internal|normal|_prepare-template.sh|
45-solidground-framework-test.sh|Library guard||fn|function|internal|template|_sgnd_lib_guard|Enforce source-only, single-load library initialization
45-solidground-framework-test.sh|Dispatch||fn|function|internal|template|_framework_test_run|Dispatch a framework test suite to the test executable
30-samba-file-server.sh|Library guard||fn|function|internal|template|_sgnd_lib_guard|Enforce source-only, single-load library initialization
30-samba-file-server.sh|Project executable dispatch||fn|function|internal|template|_smb_run_project_script|Run a management executable owned by this project
25-active-directory-client.sh|Library guard||fn|function|internal|template|_sgnd_lib_guard|Enforce source-only, single-load library initialization
20-active-directory-server.sh|Library guard||fn|function|internal|template|_sgnd_lib_guard|Enforce source-only, single-load library initialization
set-identity.sh|Bootstrap||fn|function|internal|template|_framework_locator|Resolve and load the active SolidGroundUX framework
set-identity.sh|Script identity||var|variable|public|normal|SGND_SCRIPT_FILE|Absolute path to the currently executing script
set-identity.sh|Script identity||var|variable|public|normal|SGND_SCRIPT_DIR|Directory containing the currently executing script
set-identity.sh|Script identity||var|variable|public|normal|SGND_SCRIPT_BASE|Filename of the currently executing script
set-identity.sh|Script identity||var|variable|public|normal|SGND_SCRIPT_NAME|Script basename without the .sh extension
set-identity.sh|Script identity||var|variable|public|template|SGND_SCRIPT_FILE|
set-identity.sh|Script identity||var|variable|public|template|SGND_SCRIPT_DIR|
set-identity.sh|Script identity||var|variable|public|template|SGND_SCRIPT_BASE|
set-identity.sh|Script identity||var|variable|public|template|SGND_SCRIPT_NAME|
set-identity.sh|Framework integration||var|variable|public|normal|SGND_USING|Optional framework libraries to source after core bootstrap
set-identity.sh|Framework integration||var|variable|public|normal|SGND_ARGS_SPEC|Script-specific command-line argument specification
set-identity.sh|Example||var|variable|public|normal|SGND_SCRIPT_EXAMPLES|Optional help examples for this script
set-identity.sh|Example||var|variable|public|normal|SGND_SCRIPT_GLOBALS|Script globals participating in configuration loading# var: SGND_SCRIPT_GLOBALS - Script globals participating in configuration loading
set-identity.sh|Example||var|variable|public|normal|SGND_STATE_VARIABLES|Script variables participating in persistent state
set-identity.sh|Example||var|variable|public|normal|SGND_ON_EXIT_HANDLERS|Script-specific exit handler list
set-identity.sh|Example||var|variable|public|template|SGND_STATE_SAVE|
set-identity.sh|Local script functions||fn|function|internal|normal|_set_defaults|Set defaults
set-identity.sh|Local script functions||fn|function|internal|normal|_load_current_values|Load current values
set-identity.sh|Local script functions||fn|function|internal|normal|_get_usr_input|Get usr input
set-identity.sh|Local script functions||fn|function|internal|normal|_set_hostname|Set hostname
set-identity.sh|Local script functions||fn|function|internal|normal|_detect_primary_iface|Detect primary iface
set-identity.sh|Local script functions||fn|function|internal|normal|_remove_other_netplan_files|Remove other netplan files
set-identity.sh|Local script functions||fn|function|internal|normal|_static_ip_conflict_check|Static ip conflict check
set-identity.sh|Local script functions||fn|function|internal|normal|_dryrun_complete|Report completion of a dry-run preview
set-identity.sh|Main||fn|function|public|normal|main|Run the executable main sequence
manage-storage.sh|Bootstrap||fn|function|internal|template|_framework_locator|Resolve and load the active SolidGroundUX framework
manage-storage.sh|Internal helpers||fn|function|internal|normal|_storage_validate_device|
manage-storage.sh|Internal helpers||fn|function|internal|normal|_storage_validate_mountpoint|
manage-storage.sh|Internal helpers||fn|function|internal|normal|_storage_get_mountpoint|
manage-storage.sh|Internal helpers||fn|function|internal|normal|_storage_get_share_root|
manage-storage.sh|Internal helpers||fn|function|internal|normal|_storage_save_mountpoint|
manage-storage.sh|Internal helpers||fn|function|internal|normal|_storage_get_configured_mountpoint|Read only the persisted storage mount point
manage-storage.sh|Internal helpers||fn|function|internal|normal|_storage_detect_labeled_volume|Resolve the existing SGND_STORAGE filesystem
manage-storage.sh|Internal helpers||fn|function|internal|normal|_storage_list_managed_fstab_entries|List SolidGroundUX-managed storage entries
manage-storage.sh|Internal helpers||fn|function|internal|normal|_storage_list_stale_managed_fstab_entries|List stale SolidGroundUX-managed entries
manage-storage.sh|Internal helpers||fn|function|internal|normal|_storage_list_unused_disks|
manage-storage.sh|Internal helpers||fn|function|internal|normal|_storage_partition_path|
manage-storage.sh|Internal helpers||fn|function|internal|normal|_storage_validate_account|
manage-storage.sh|Internal helpers||fn|function|internal|normal|_storage_validate_group|
manage-storage.sh|Internal helpers||fn|function|internal|normal|_storage_validate_mode|
manage-storage.sh|Internal helpers||fn|function|internal|normal|_storage_select_access_target|
manage-storage.sh|Public module actions||fn|function|public|template|storage_configure|
manage-storage.sh|Public module actions||fn|function|public|template|storage_mount|
manage-storage.sh|Public module actions||fn|function|public|template|storage_unmount|
manage-storage.sh|Public module actions||fn|function|public|template|storage_expand|
manage-storage.sh|Public module actions||fn|function|public|template|storage_access_status|
manage-storage.sh|Public module actions||fn|function|public|template|storage_set_owner|
manage-storage.sh|Public module actions||fn|function|public|template|storage_set_group|
manage-storage.sh|Public module actions||fn|function|public|template|storage_set_permissions|
manage-storage.sh|Public module actions||fn|function|public|template|storage_restore_access_defaults|
manage-storage.sh|Public module actions||fn|function|public|template|storage_reconcile|
manage-storage.sh|Public module actions||fn|function|public|template|storage_reconcile_persistence|
manage-storage.sh|Public module actions||fn|function|public|template|storage_status|
manage-storage.sh|Public module actions||fn|function|public|template|storage_validate_provisioning|
manage-samba-shares.sh|Bootstrap||fn|function|internal|template|_framework_locator|Resolve and load the active SolidGroundUX framework
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_refresh_storage_paths|Resolve the configured SolidGroundUX share root
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_smb_ask_selection|Render a Samba selection menu and return the selected value(s)
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_share_path|Resolve the configured path for a Samba share
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_list_managed_shares|Discover shares beneath the SolidGroundUX share root
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_select_shares|Select one or more managed shares
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_acl_groups_for_share|Return named group ACL entries for one share
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_validate_share_name|Validate a managed Samba share name
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_validate_relative_path|Validate a relative path beneath a share root
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_share_exists|Test whether a Samba share exists
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_reload_samba|Validate and reload Samba configuration
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_create_share|Create a managed share and backing directory
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_remove_share|Remove a managed share and optionally its directory
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_ensure_selected_shares|Ensure one or more managed shares are selected
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_inherit_directory_access|Copy a parent directory's ownership and ACL model
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_create_inherited_directory_tree|Create a relative directory tree with inherited access
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_list_share_subdirectories_raw|Return relative subdirectory paths for one share
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_create_subdirectory|Create subdirectories beneath the currently selected shares
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_list_subdirectories|List subdirectories beneath the currently selected shares
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_remove_subdirectory|Remove a selected subdirectory from a selected share
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_ensure_kerberos_ticket|Ensure an authenticated Kerberos ticket is available
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_discover_ad_groups|Discover domain groups visible through NSS
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_select_group|Select or enter an AD/NSS group
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_samba_principal|Format an NSS group for a Samba user-list parameter
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_sync_share_samba_access|Synchronize Samba access lists from POSIX ACLs
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_apply_group_access|Apply read or write ACLs to selected shares
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_select_assigned_group|Select a group currently assigned to the selected shares
manage-samba-shares.sh|Helpers||fn|function|internal|normal|_remove_group_access|Remove one AD/NSS group's access from selected shares
