file|source_linenr|doc_linenr|section|parentsection|grandparentsection|stylehint|item|title|contenttype|content|contentref
release-manager.sh|51|28|Defaults|||normal|||L3Sectionheader|Defaults|release-manager.sh:::Defaults:
release-manager.sh|103|29|Standalone UI|||normal|||L3Sectionheader|Standalone UI|release-manager.sh:::Standalone UI:
release-manager.sh|104|30|Standalone UI|||normal|||L3Sectionbody|Default-theme-compatible standalone palette.|release-manager.sh:::Standalone UI:
release-manager.sh|105|31|Standalone UI|||normal|||L3Sectionbody|Kept local so the release manager remains self-sufficient.|release-manager.sh:::Standalone UI:
release-manager.sh|106|32|Standalone UI|||normal|||L3Sectionbody|Bootstrap palette: design-time snapshot of the SolidGroundUX default theme.|release-manager.sh:::Standalone UI:
release-manager.sh|107|33|Standalone UI|||normal|||L3Sectionbody|It deliberately mirrors the normal default palette/style closely, but has no|release-manager.sh:::Standalone UI:
release-manager.sh|108|34|Standalone UI|||normal|||L3Sectionbody|runtime dependency on SolidGroundUX.|release-manager.sh:::Standalone UI:
release-manager.sh|165|35|Standalone UI|||normal|_release_framework_root_for_target|Resolve the framework root for the selected target|functionheader|_release_framework_root_for_target - Resolve the framework root for the selected target|release-manager.sh:::Standalone UI:_release_framework_root_for_target
release-manager.sh|166|36|Standalone UI|||highlight|_release_framework_root_for_target|Resolve the framework root for the selected target|functionbody|Usage|release-manager.sh:::Standalone UI:_release_framework_root_for_target
release-manager.sh|167|37|Standalone UI|||normal|_release_framework_root_for_target|Resolve the framework root for the selected target|functionbody|  _release_framework_root_for_target|release-manager.sh:::Standalone UI:_release_framework_root_for_target
release-manager.sh|176|38|Standalone UI|||normal|_release_try_framework_ui|Prefer the installed SolidGroundUX UI when healthy|functionheader|_release_try_framework_ui - Prefer the installed SolidGroundUX UI when healthy|release-manager.sh:::Standalone UI:_release_try_framework_ui
release-manager.sh|177|39|Standalone UI|||highlight|_release_try_framework_ui|Prefer the installed SolidGroundUX UI when healthy|functionbody|Purpose|release-manager.sh:::Standalone UI:_release_try_framework_ui
release-manager.sh|178|40|Standalone UI|||normal|_release_try_framework_ui|Prefer the installed SolidGroundUX UI when healthy|functionbody|  Opportunistically load the normal framework UI after the target root is known.|release-manager.sh:::Standalone UI:_release_try_framework_ui
release-manager.sh|179|41|Standalone UI|||normal|_release_try_framework_ui|Prefer the installed SolidGroundUX UI when healthy|functionbody||release-manager.sh:::Standalone UI:_release_try_framework_ui
release-manager.sh|180|42|Standalone UI|||highlight|_release_try_framework_ui|Prefer the installed SolidGroundUX UI when healthy|functionbody|Behavior|release-manager.sh:::Standalone UI:_release_try_framework_ui
release-manager.sh|181|43|Standalone UI|||normal|_release_try_framework_ui|Prefer the installed SolidGroundUX UI when healthy|functionbody|  - Never required for release-manager operation.|release-manager.sh:::Standalone UI:_release_try_framework_ui
release-manager.sh|182|44|Standalone UI|||normal|_release_try_framework_ui|Prefer the installed SolidGroundUX UI when healthy|functionbody|  - Falls back silently to the bootstrap UI if the framework is absent, damaged,|release-manager.sh:::Standalone UI:_release_try_framework_ui
release-manager.sh|183|45|Standalone UI|||normal|_release_try_framework_ui|Prefer the installed SolidGroundUX UI when healthy|functionbody|    or cannot complete bootstrap.|release-manager.sh:::Standalone UI:_release_try_framework_ui
release-manager.sh|184|46|Standalone UI|||normal|_release_try_framework_ui|Prefer the installed SolidGroundUX UI when healthy|functionbody|  - Keeps release-manager business logic behind _release_* UI adapters.|release-manager.sh:::Standalone UI:_release_try_framework_ui
release-manager.sh|185|47|Standalone UI|||highlight|_release_try_framework_ui|Prefer the installed SolidGroundUX UI when healthy|functionbody|Usage|release-manager.sh:::Standalone UI:_release_try_framework_ui
release-manager.sh|186|48|Standalone UI|||normal|_release_try_framework_ui|Prefer the installed SolidGroundUX UI when healthy|functionbody|  _release_try_framework_ui|release-manager.sh:::Standalone UI:_release_try_framework_ui
release-manager.sh|239|49|Standalone UI|||normal|_release_print|Print a line through the active UI implementation|functionheader|_release_print - Print a line through the active UI implementation|release-manager.sh:::Standalone UI:_release_print
release-manager.sh|240|50|Standalone UI|||highlight|_release_print|Print a line through the active UI implementation|functionbody|Usage|release-manager.sh:::Standalone UI:_release_print
release-manager.sh|241|51|Standalone UI|||normal|_release_print|Print a line through the active UI implementation|functionbody|  _release_print "<args...>"|release-manager.sh:::Standalone UI:_release_print
release-manager.sh|250|52|Standalone UI|||normal|_release_section_header|Render a section header through the active UI|functionheader|_release_section_header - Render a section header through the active UI|release-manager.sh:::Standalone UI:_release_section_header
release-manager.sh|251|53|Standalone UI|||highlight|_release_section_header|Render a section header through the active UI|functionbody|Usage|release-manager.sh:::Standalone UI:_release_section_header
release-manager.sh|252|54|Standalone UI|||normal|_release_section_header|Render a section header through the active UI|functionbody|  _release_section_header "<title>"|release-manager.sh:::Standalone UI:_release_section_header
release-manager.sh|265|55|Standalone UI|||normal|_release_ask|Ask for a scalar value using framework ask() or the fallback UI|functionheader|_release_ask - Ask for a scalar value using framework ask() or the fallback UI|release-manager.sh:::Standalone UI:_release_ask
release-manager.sh|266|56|Standalone UI|||normal|_release_ask|Ask for a scalar value using framework ask() or the fallback UI|functionbody|Arguments:|release-manager.sh:::Standalone UI:_release_ask
release-manager.sh|267|57|Standalone UI|||normal|_release_ask|Ask for a scalar value using framework ask() or the fallback UI|functionbody|  $1 label, $2 variable name, $3 default|release-manager.sh:::Standalone UI:_release_ask
release-manager.sh|268|58|Standalone UI|||highlight|_release_ask|Ask for a scalar value using framework ask() or the fallback UI|functionbody|Usage|release-manager.sh:::Standalone UI:_release_ask
release-manager.sh|269|59|Standalone UI|||normal|_release_ask|Ask for a scalar value using framework ask() or the fallback UI|functionbody|  _release_ask "<label>" "<var_name>" "<default>"|release-manager.sh:::Standalone UI:_release_ask
release-manager.sh|294|60|Standalone UI|||normal|_release_ask_yesno|Ask a yes/no question with a default|functionheader|_release_ask_yesno - Ask a yes/no question with a default|release-manager.sh:::Standalone UI:_release_ask_yesno
release-manager.sh|295|61|Standalone UI|||highlight|_release_ask_yesno|Ask a yes/no question with a default|functionbody|Usage|release-manager.sh:::Standalone UI:_release_ask_yesno
release-manager.sh|296|62|Standalone UI|||normal|_release_ask_yesno|Ask a yes/no question with a default|functionbody|  _release_ask_yesno "<label>" "<default>"|release-manager.sh:::Standalone UI:_release_ask_yesno
release-manager.sh|318|63|Standalone UI|||normal|_release_terminal_width|Return the usable terminal width|functionheader|_release_terminal_width - Return the usable terminal width|release-manager.sh:::Standalone UI:_release_terminal_width
release-manager.sh|319|64|Standalone UI|||normal|_release_terminal_width|Return the usable terminal width|functionbody|Returns:|release-manager.sh:::Standalone UI:_release_terminal_width
release-manager.sh|320|65|Standalone UI|||normal|_release_terminal_width|Return the usable terminal width|functionbody|  Prints a terminal width between 40 and 140 columns.|release-manager.sh:::Standalone UI:_release_terminal_width
release-manager.sh|321|66|Standalone UI|||normal|_release_terminal_width|Return the usable terminal width|functionbody|Usage:|release-manager.sh:::Standalone UI:_release_terminal_width
release-manager.sh|322|67|Standalone UI|||normal|_release_terminal_width|Return the usable terminal width|functionbody|  width="$(_release_terminal_width)"|release-manager.sh:::Standalone UI:_release_terminal_width
release-manager.sh|336|68|Standalone UI|||normal|_release_clear|Clear the active terminal reliably|functionheader|_release_clear - Clear the active terminal reliably|release-manager.sh:::Standalone UI:_release_clear
release-manager.sh|337|69|Standalone UI|||normal|_release_clear|Clear the active terminal reliably|functionbody|Returns:|release-manager.sh:::Standalone UI:_release_clear
release-manager.sh|338|70|Standalone UI|||normal|_release_clear|Clear the active terminal reliably|functionbody|  0 always.|release-manager.sh:::Standalone UI:_release_clear
release-manager.sh|339|71|Standalone UI|||normal|_release_clear|Clear the active terminal reliably|functionbody|Usage:|release-manager.sh:::Standalone UI:_release_clear
release-manager.sh|340|72|Standalone UI|||normal|_release_clear|Clear the active terminal reliably|functionbody|  _release_clear|release-manager.sh:::Standalone UI:_release_clear
release-manager.sh|346|73|Standalone UI|||normal|_release_line|Print a repeated border character|functionheader|_release_line - Print a repeated border character|release-manager.sh:::Standalone UI:_release_line
release-manager.sh|347|74|Standalone UI|||normal|_release_line|Print a repeated border character|functionbody|Returns:|release-manager.sh:::Standalone UI:_release_line
release-manager.sh|348|75|Standalone UI|||normal|_release_line|Print a repeated border character|functionbody|  0 always.|release-manager.sh:::Standalone UI:_release_line
release-manager.sh|349|76|Standalone UI|||normal|_release_line|Print a repeated border character|functionbody|Usage:|release-manager.sh:::Standalone UI:_release_line
release-manager.sh|350|77|Standalone UI|||normal|_release_line|Print a repeated border character|functionbody|  _release_line "═"|release-manager.sh:::Standalone UI:_release_line
release-manager.sh|363|78|Standalone UI|||normal|_release_metadata_field|Read a field from this script's Metadata header|functionheader|_release_metadata_field - Read a field from this script's Metadata header|release-manager.sh:::Standalone UI:_release_metadata_field
release-manager.sh|364|79|Standalone UI|||highlight|_release_metadata_field|Read a field from this script's Metadata header|functionbody|Purpose|release-manager.sh:::Standalone UI:_release_metadata_field
release-manager.sh|365|80|Standalone UI|||normal|_release_metadata_field|Read a field from this script's Metadata header|functionbody|  Read one value from the canonical script Metadata block without depending on|release-manager.sh:::Standalone UI:_release_metadata_field
release-manager.sh|366|81|Standalone UI|||normal|_release_metadata_field|Read a field from this script's Metadata header|functionbody|  SolidGroundUX framework libraries.|release-manager.sh:::Standalone UI:_release_metadata_field
release-manager.sh|367|82|Standalone UI|||highlight|_release_metadata_field|Read a field from this script's Metadata header|functionbody|Arguments|release-manager.sh:::Standalone UI:_release_metadata_field
release-manager.sh|368|83|Standalone UI|||normal|_release_metadata_field|Read a field from this script's Metadata header|functionbody|  $1  Metadata field name, for example Version or Build.|release-manager.sh:::Standalone UI:_release_metadata_field
release-manager.sh|369|84|Standalone UI|||highlight|_release_metadata_field|Read a field from this script's Metadata header|functionbody|Returns|release-manager.sh:::Standalone UI:_release_metadata_field
release-manager.sh|370|85|Standalone UI|||normal|_release_metadata_field|Read a field from this script's Metadata header|functionbody|  0 and the trimmed field value when found; 1 otherwise.|release-manager.sh:::Standalone UI:_release_metadata_field
release-manager.sh|371|86|Standalone UI|||highlight|_release_metadata_field|Read a field from this script's Metadata header|functionbody|Usage|release-manager.sh:::Standalone UI:_release_metadata_field
release-manager.sh|372|87|Standalone UI|||normal|_release_metadata_field|Read a field from this script's Metadata header|functionbody|  version="$(_release_metadata_field "Version")"|release-manager.sh:::Standalone UI:_release_metadata_field
release-manager.sh|390|88|Standalone UI|||normal|_release_title|Render the standalone release-manager title|functionheader|_release_title - Render the standalone release-manager title|release-manager.sh:::Standalone UI:_release_title
release-manager.sh|391|89|Standalone UI|||highlight|_release_title|Render the standalone release-manager title|functionbody|Purpose|release-manager.sh:::Standalone UI:_release_title
release-manager.sh|392|90|Standalone UI|||normal|_release_title|Render the standalone release-manager title|functionbody|  Display the release-manager identity and current hostname without using framework UI libraries.|release-manager.sh:::Standalone UI:_release_title
release-manager.sh|393|91|Standalone UI|||highlight|_release_title|Render the standalone release-manager title|functionbody|Returns|release-manager.sh:::Standalone UI:_release_title
release-manager.sh|394|92|Standalone UI|||normal|_release_title|Render the standalone release-manager title|functionbody|  0 always.|release-manager.sh:::Standalone UI:_release_title
release-manager.sh|395|93|Standalone UI|||highlight|_release_title|Render the standalone release-manager title|functionbody|Usage|release-manager.sh:::Standalone UI:_release_title
release-manager.sh|396|94|Standalone UI|||normal|_release_title|Render the standalone release-manager title|functionbody|  _release_title|release-manager.sh:::Standalone UI:_release_title
release-manager.sh|438|95|Standalone UI|||normal|_release_labeled_value|Print one aligned label/value pair|functionheader|_release_labeled_value - Print one aligned label/value pair|release-manager.sh:::Standalone UI:_release_labeled_value
release-manager.sh|439|96|Standalone UI|||normal|_release_labeled_value|Print one aligned label/value pair|functionbody|Returns:|release-manager.sh:::Standalone UI:_release_labeled_value
release-manager.sh|440|97|Standalone UI|||normal|_release_labeled_value|Print one aligned label/value pair|functionbody|  0 always.|release-manager.sh:::Standalone UI:_release_labeled_value
release-manager.sh|441|98|Standalone UI|||normal|_release_labeled_value|Print one aligned label/value pair|functionbody|Usage:|release-manager.sh:::Standalone UI:_release_labeled_value
release-manager.sh|442|99|Standalone UI|||normal|_release_labeled_value|Print one aligned label/value pair|functionbody|  _release_labeled_value "Installed release" "$current"|release-manager.sh:::Standalone UI:_release_labeled_value
release-manager.sh|458|100|Standalone UI|||normal|_release_info|Write verbose informational output|functionheader|_release_info - Write verbose informational output|release-manager.sh:::Standalone UI:_release_info
release-manager.sh|459|101|Standalone UI|||highlight|_release_info|Write verbose informational output|functionbody|Purpose|release-manager.sh:::Standalone UI:_release_info
release-manager.sh|460|102|Standalone UI|||normal|_release_info|Write verbose informational output|functionbody|  Write verbose informational output.|release-manager.sh:::Standalone UI:_release_info
release-manager.sh|461|103|Standalone UI|||highlight|_release_info|Write verbose informational output|functionbody|Returns|release-manager.sh:::Standalone UI:_release_info
release-manager.sh|462|104|Standalone UI|||normal|_release_info|Write verbose informational output|functionbody|  0 always.|release-manager.sh:::Standalone UI:_release_info
release-manager.sh|463|105|Standalone UI|||highlight|_release_info|Write verbose informational output|functionbody|Usage|release-manager.sh:::Standalone UI:_release_info
release-manager.sh|464|106|Standalone UI|||normal|_release_info|Write verbose informational output|functionbody|  _release_info "message"|release-manager.sh:::Standalone UI:_release_info
release-manager.sh|470|107|Standalone UI|||normal|_release_ok|Write a successful-operation message|functionheader|_release_ok - Write a successful-operation message|release-manager.sh:::Standalone UI:_release_ok
release-manager.sh|471|108|Standalone UI|||highlight|_release_ok|Write a successful-operation message|functionbody|Purpose|release-manager.sh:::Standalone UI:_release_ok
release-manager.sh|472|109|Standalone UI|||normal|_release_ok|Write a successful-operation message|functionbody|  Write a successful-operation message.|release-manager.sh:::Standalone UI:_release_ok
release-manager.sh|473|110|Standalone UI|||highlight|_release_ok|Write a successful-operation message|functionbody|Returns|release-manager.sh:::Standalone UI:_release_ok
release-manager.sh|474|111|Standalone UI|||normal|_release_ok|Write a successful-operation message|functionbody|  0 always.|release-manager.sh:::Standalone UI:_release_ok
release-manager.sh|475|112|Standalone UI|||highlight|_release_ok|Write a successful-operation message|functionbody|Usage|release-manager.sh:::Standalone UI:_release_ok
release-manager.sh|476|113|Standalone UI|||normal|_release_ok|Write a successful-operation message|functionbody|  _release_ok "message"|release-manager.sh:::Standalone UI:_release_ok
release-manager.sh|481|114|Standalone UI|||normal|_release_warn|Write a warning message|functionheader|_release_warn - Write a warning message|release-manager.sh:::Standalone UI:_release_warn
release-manager.sh|482|115|Standalone UI|||highlight|_release_warn|Write a warning message|functionbody|Purpose|release-manager.sh:::Standalone UI:_release_warn
release-manager.sh|483|116|Standalone UI|||normal|_release_warn|Write a warning message|functionbody|  Write a warning message.|release-manager.sh:::Standalone UI:_release_warn
release-manager.sh|484|117|Standalone UI|||highlight|_release_warn|Write a warning message|functionbody|Returns|release-manager.sh:::Standalone UI:_release_warn
release-manager.sh|485|118|Standalone UI|||normal|_release_warn|Write a warning message|functionbody|  0 always.|release-manager.sh:::Standalone UI:_release_warn
release-manager.sh|486|119|Standalone UI|||highlight|_release_warn|Write a warning message|functionbody|Usage|release-manager.sh:::Standalone UI:_release_warn
release-manager.sh|487|120|Standalone UI|||normal|_release_warn|Write a warning message|functionbody|  _release_warn "message"|release-manager.sh:::Standalone UI:_release_warn
release-manager.sh|492|121|Standalone UI|||normal|_release_fail|Write a failure message|functionheader|_release_fail - Write a failure message|release-manager.sh:::Standalone UI:_release_fail
release-manager.sh|493|122|Standalone UI|||highlight|_release_fail|Write a failure message|functionbody|Purpose|release-manager.sh:::Standalone UI:_release_fail
release-manager.sh|494|123|Standalone UI|||normal|_release_fail|Write a failure message|functionbody|  Write a failure message.|release-manager.sh:::Standalone UI:_release_fail
release-manager.sh|495|124|Standalone UI|||highlight|_release_fail|Write a failure message|functionbody|Returns|release-manager.sh:::Standalone UI:_release_fail
release-manager.sh|496|125|Standalone UI|||normal|_release_fail|Write a failure message|functionbody|  0 always.|release-manager.sh:::Standalone UI:_release_fail
release-manager.sh|497|126|Standalone UI|||highlight|_release_fail|Write a failure message|functionbody|Usage|release-manager.sh:::Standalone UI:_release_fail
release-manager.sh|498|127|Standalone UI|||normal|_release_fail|Write a failure message|functionbody|  _release_fail "message"|release-manager.sh:::Standalone UI:_release_fail
release-manager.sh|503|128|Standalone UI|||normal|_release_run|Execute a command or report it in dry-run mode|functionheader|_release_run - Execute a command or report it in dry-run mode|release-manager.sh:::Standalone UI:_release_run
release-manager.sh|504|129|Standalone UI|||highlight|_release_run|Execute a command or report it in dry-run mode|functionbody|Purpose|release-manager.sh:::Standalone UI:_release_run
release-manager.sh|505|130|Standalone UI|||normal|_release_run|Execute a command or report it in dry-run mode|functionbody|  Execute a command or report it in dry-run mode.|release-manager.sh:::Standalone UI:_release_run
release-manager.sh|506|131|Standalone UI|||highlight|_release_run|Execute a command or report it in dry-run mode|functionbody|Returns|release-manager.sh:::Standalone UI:_release_run
release-manager.sh|507|132|Standalone UI|||normal|_release_run|Execute a command or report it in dry-run mode|functionbody|  The executed command status, or 0 in dry-run mode.|release-manager.sh:::Standalone UI:_release_run
release-manager.sh|508|133|Standalone UI|||highlight|_release_run|Execute a command or report it in dry-run mode|functionbody|Usage|release-manager.sh:::Standalone UI:_release_run
release-manager.sh|509|134|Standalone UI|||normal|_release_run|Execute a command or report it in dry-run mode|functionbody|  _release_run mkdir -p /tmp/example|release-manager.sh:::Standalone UI:_release_run
release-manager.sh|520|135|Arguments and paths|||normal|||L3Sectionheader|Arguments and paths|release-manager.sh:::Arguments and paths:
release-manager.sh|521|136|Arguments and paths|||normal|_ensure_root|Re-execute release-manager with elevated privileges when required|functionheader|_ensure_root - Re-execute release-manager with elevated privileges when required|release-manager.sh:::Arguments and paths:_ensure_root
release-manager.sh|551|137|Arguments and paths|||normal|print_usage|Display standalone release-manager command-line help|functionheader|print_usage - Display standalone release-manager command-line help|release-manager.sh:::Arguments and paths:print_usage
release-manager.sh|552|138|Arguments and paths|||highlight|print_usage|Display standalone release-manager command-line help|functionbody|Purpose|release-manager.sh:::Arguments and paths:print_usage
release-manager.sh|553|139|Arguments and paths|||normal|print_usage|Display standalone release-manager command-line help|functionbody|  Display standalone release-manager command-line help.|release-manager.sh:::Arguments and paths:print_usage
release-manager.sh|554|140|Arguments and paths|||highlight|print_usage|Display standalone release-manager command-line help|functionbody|Returns|release-manager.sh:::Arguments and paths:print_usage
release-manager.sh|555|141|Arguments and paths|||normal|print_usage|Display standalone release-manager command-line help|functionbody|  0 always.|release-manager.sh:::Arguments and paths:print_usage
release-manager.sh|556|142|Arguments and paths|||highlight|print_usage|Display standalone release-manager command-line help|functionbody|Usage|release-manager.sh:::Arguments and paths:print_usage
release-manager.sh|557|143|Arguments and paths|||normal|print_usage|Display standalone release-manager command-line help|functionbody|  print_usage|release-manager.sh:::Arguments and paths:print_usage
release-manager.sh|596|144|Arguments and paths|||normal|_set_action|Set and validate the requested release-manager action|functionheader|_set_action - Set and validate the requested release-manager action|release-manager.sh:::Arguments and paths:_set_action
release-manager.sh|597|145|Arguments and paths|||highlight|_set_action|Set and validate the requested release-manager action|functionbody|Purpose|release-manager.sh:::Arguments and paths:_set_action
release-manager.sh|598|146|Arguments and paths|||normal|_set_action|Set and validate the requested release-manager action|functionbody|  Set and validate the requested release-manager action.|release-manager.sh:::Arguments and paths:_set_action
release-manager.sh|599|147|Arguments and paths|||highlight|_set_action|Set and validate the requested release-manager action|functionbody|Returns|release-manager.sh:::Arguments and paths:_set_action
release-manager.sh|600|148|Arguments and paths|||normal|_set_action|Set and validate the requested release-manager action|functionbody|  0 on success; 1 when conflicting actions are supplied.|release-manager.sh:::Arguments and paths:_set_action
release-manager.sh|601|149|Arguments and paths|||highlight|_set_action|Set and validate the requested release-manager action|functionbody|Usage|release-manager.sh:::Arguments and paths:_set_action
release-manager.sh|602|150|Arguments and paths|||normal|_set_action|Set and validate the requested release-manager action|functionbody|  _set_action update|release-manager.sh:::Arguments and paths:_set_action
release-manager.sh|612|151|Arguments and paths|||normal|parse_args|Parse release-manager command-line arguments|functionheader|parse_args - Parse release-manager command-line arguments|release-manager.sh:::Arguments and paths:parse_args
release-manager.sh|613|152|Arguments and paths|||highlight|parse_args|Parse release-manager command-line arguments|functionbody|Purpose|release-manager.sh:::Arguments and paths:parse_args
release-manager.sh|614|153|Arguments and paths|||normal|parse_args|Parse release-manager command-line arguments|functionbody|  Parse release-manager command-line arguments.|release-manager.sh:::Arguments and paths:parse_args
release-manager.sh|615|154|Arguments and paths|||highlight|parse_args|Parse release-manager command-line arguments|functionbody|Returns|release-manager.sh:::Arguments and paths:parse_args
release-manager.sh|616|155|Arguments and paths|||normal|parse_args|Parse release-manager command-line arguments|functionbody|  0 on success; non-zero on invalid arguments.|release-manager.sh:::Arguments and paths:parse_args
release-manager.sh|617|156|Arguments and paths|||highlight|parse_args|Parse release-manager command-line arguments|functionbody|Usage|release-manager.sh:::Arguments and paths:parse_args
release-manager.sh|618|157|Arguments and paths|||normal|parse_args|Parse release-manager command-line arguments|functionbody|  parse_args "$@"|release-manager.sh:::Arguments and paths:parse_args
release-manager.sh|692|158|Arguments and paths|||normal|_normalize_root|Normalize an absolute filesystem root|functionheader|_normalize_root - Normalize an absolute filesystem root|release-manager.sh:::Arguments and paths:_normalize_root
release-manager.sh|693|159|Arguments and paths|||highlight|_normalize_root|Normalize an absolute filesystem root|functionbody|Purpose|release-manager.sh:::Arguments and paths:_normalize_root
release-manager.sh|694|160|Arguments and paths|||normal|_normalize_root|Normalize an absolute filesystem root|functionbody|  Normalize an absolute filesystem root.|release-manager.sh:::Arguments and paths:_normalize_root
release-manager.sh|695|161|Arguments and paths|||highlight|_normalize_root|Normalize an absolute filesystem root|functionbody|Returns|release-manager.sh:::Arguments and paths:_normalize_root
release-manager.sh|696|162|Arguments and paths|||normal|_normalize_root|Normalize an absolute filesystem root|functionbody|  0 when the root is absolute; 1 otherwise.|release-manager.sh:::Arguments and paths:_normalize_root
release-manager.sh|697|163|Arguments and paths|||highlight|_normalize_root|Normalize an absolute filesystem root|functionbody|Usage|release-manager.sh:::Arguments and paths:_normalize_root
release-manager.sh|698|164|Arguments and paths|||normal|_normalize_root|Normalize an absolute filesystem root|functionbody|  root="$(_normalize_root "/")"|release-manager.sh:::Arguments and paths:_normalize_root
release-manager.sh|707|165|Arguments and paths|||normal|init_paths|Resolve target, state, release, and archive directories|functionheader|init_paths - Resolve target, state, release, and archive directories|release-manager.sh:::Arguments and paths:init_paths
release-manager.sh|708|166|Arguments and paths|||highlight|init_paths|Resolve target, state, release, and archive directories|functionbody|Purpose|release-manager.sh:::Arguments and paths:init_paths
release-manager.sh|709|167|Arguments and paths|||normal|init_paths|Resolve target, state, release, and archive directories|functionbody|  Resolve target, state, release, and archive directories.|release-manager.sh:::Arguments and paths:init_paths
release-manager.sh|710|168|Arguments and paths|||highlight|init_paths|Resolve target, state, release, and archive directories|functionbody|Returns|release-manager.sh:::Arguments and paths:init_paths
release-manager.sh|711|169|Arguments and paths|||normal|init_paths|Resolve target, state, release, and archive directories|functionbody|  0 on success; 1 when the target root is invalid.|release-manager.sh:::Arguments and paths:init_paths
release-manager.sh|712|170|Arguments and paths|||highlight|init_paths|Resolve target, state, release, and archive directories|functionbody|Usage|release-manager.sh:::Arguments and paths:init_paths
release-manager.sh|713|171|Arguments and paths|||normal|init_paths|Resolve target, state, release, and archive directories|functionbody|  init_paths|release-manager.sh:::Arguments and paths:init_paths
release-manager.sh|714|172|Arguments and paths|||normal|_release_default_target_root|Derive target root only from canonical manager location|functionheader|_release_default_target_root - Derive target root only from canonical manager location|release-manager.sh:::Arguments and paths:_release_default_target_root
release-manager.sh|715|173|Arguments and paths|||highlight|_release_default_target_root|Derive target root only from canonical manager location|functionbody|Usage|release-manager.sh:::Arguments and paths:_release_default_target_root
release-manager.sh|716|174|Arguments and paths|||normal|_release_default_target_root|Derive target root only from canonical manager location|functionbody|  _release_default_target_root|release-manager.sh:::Arguments and paths:_release_default_target_root
release-manager.sh|751|175|Arguments and paths|||normal|_release_load_state|Load standalone parameter defaults|functionheader|_release_load_state - Load standalone parameter defaults|release-manager.sh:::Arguments and paths:_release_load_state
release-manager.sh|752|176|Arguments and paths|||highlight|_release_load_state|Load standalone parameter defaults|functionbody|Usage|release-manager.sh:::Arguments and paths:_release_load_state
release-manager.sh|753|177|Arguments and paths|||normal|_release_load_state|Load standalone parameter defaults|functionbody|  _release_load_state|release-manager.sh:::Arguments and paths:_release_load_state
release-manager.sh|775|178|Arguments and paths|||normal|_release_save_state|Persist accepted parameter values|functionheader|_release_save_state - Persist accepted parameter values|release-manager.sh:::Arguments and paths:_release_save_state
release-manager.sh|776|179|Arguments and paths|||highlight|_release_save_state|Persist accepted parameter values|functionbody|Usage|release-manager.sh:::Arguments and paths:_release_save_state
